Date,,,,Fear Greed
2020-07-14,,,,50
2020-07-15,,,,50
2020-07-16,,,,50
2020-07-17,,,,50
2020-07-20,,,,50
2020-07-21,,,,50
2020-07-22,,,,50
2020-07-23,,,,50
2020-07-24,,,,50
2020-07-27,,,,50
2020-07-28,,,,50
2020-07-29,,,,50
2020-07-30,,,,50
2020-07-31,,,,50
2020-08-03,,,,50
2020-08-04,,,,50
2020-08-05,,,,50
2020-08-06,,,,50
2020-08-07,,,,50
2020-08-10,,,,50
2020-08-11,,,,50
2020-08-12,,,,50
2020-08-13,,,,50
2020-08-14,,,,50
2020-08-17,,,,50
2020-08-18,,,,50
2020-08-19,,,,50
2020-08-20,,,,50
2020-08-21,,,,50
2020-08-24,,,,50
2020-08-25,,,,50
2020-08-26,,,,50
2020-08-27,,,,50
2020-08-28,,,,50
2020-08-31,,,,50
2020-09-01,,,,50
2020-09-02,,,,50
2020-09-03,,,,2
2020-09-04,,,,3
2020-09-08,,,,3
2020-09-09,,,,50
2020-09-10,,,,50
2020-09-11,,,,50
2020-09-14,,,,50
2020-09-15,,,,50
2020-09-16,,,,50
2020-09-17,,,,50
2020-09-18,,,,50
2020-09-21,,,,50
2020-09-22,,,,50
2020-09-23,,,,50
2020-09-24,,,,50
2020-09-25,,,,50
2020-09-28,,,,50
2020-09-29,,,,50
2020-09-30,,,,50
2020-10-01,,,,50
2020-10-02,,,,50
2020-10-05,,,,50
2020-10-06,,,,50
2020-10-07,,,,50
2020-10-08,,,,50
2020-10-09,,,,50
2020-10-12,,,,50
2020-10-13,,,,50
2020-10-14,,,,50
2020-10-15,,,,50
2020-10-16,,,,50
2020-10-19,,,,50
2020-10-20,,,,50
2020-10-21,,,,50
2020-10-22,,,,50
2020-10-23,,,,50
2020-10-26,,,,2
2020-10-27,,,,2
2020-10-28,,,,0
2020-10-29,,,,1
2020-10-30,,,,1
2020-11-02,,,,2
2020-11-03,,,,3
2020-11-04,,,,50
2020-11-05,,,,50
2020-11-06,,,,50
2020-11-09,,,,50
2020-11-10,,,,50
2020-11-11,,,,50
2020-11-12,,,,50
2020-11-13,,,,50
2020-11-16,,,,50
2020-11-17,,,,50
2020-11-18,,,,50
2020-11-19,,,,50
2020-11-20,,,,50
2020-11-23,,,,50
2020-11-24,,,,50
2020-11-25,,,,50
2020-11-27,,,,50
2020-11-30,,,,50
2020-12-01,,,,50
2020-12-02,,,,50
2020-12-03,,,,50
2020-12-04,,,,50
2020-12-07,,,,50
2020-12-08,,,,50
2020-12-09,,,,50
2020-12-10,,,,50
2020-12-11,,,,50
2020-12-14,,,,50
2020-12-15,,,,50
2020-12-16,,,,50
2020-12-17,,,,50
2020-12-18,,,,50
2020-12-21,,,,50
2020-12-22,,,,50
2020-12-23,,,,50
2020-12-24,,,,50
2020-12-28,,,,50
2020-12-29,,,,50
2020-12-30,,,,50
2020-12-31,,,,50
2021-01-04,,,,50
2021-01-05,,,,50
2021-01-06,,,,50
2021-01-07,,,,50
2021-01-08,,,,50
2021-01-11,,,,50
2021-01-12,,,,50
2021-01-13,,,,50
2021-01-14,,,,50
2021-01-15,,,,50
2021-01-19,,,,50
2021-01-20,,,,50
2021-01-21,,,,50
2021-01-22,,,,68
2021-01-25,,,,69
2021-01-26,,,,67
2021-01-27,,,,28
2021-01-28,,,,52
2021-01-29,,,,40
2021-02-01,,,,43
2021-02-02,,,,60
2021-02-03,,,,59
2021-02-04,,,,61
2021-02-05,,,,68
2021-02-08,,,,72
2021-02-09,,,,75
2021-02-10,,,,75
2021-02-11,,,,76
2021-02-12,,,,77
2021-02-16,,,,73
2021-02-17,,,,70
2021-02-18,,,,62
2021-02-19,,,,56
2021-02-22,,,,52
2021-02-23,,,,50
2021-02-24,,,,63
2021-02-25,,,,46
2021-02-26,,,,53
2021-03-01,,,,58
2021-03-02,,,,50
2021-03-03,,,,43
2021-03-04,,,,37
2021-03-05,,,,41
2021-03-08,,,,39
2021-03-09,,,,43
2021-03-10,,,,45
2021-03-11,,,,50
2021-03-12,,,,53
2021-03-15,,,,56
2021-03-16,,,,54
2021-03-17,,,,57
2021-03-18,,,,52
2021-03-19,,,,50
2021-03-22,,,,50
2021-03-23,,,,41
2021-03-24,,,,37
2021-03-25,,,,37
2021-03-26,,,,37
2021-03-29,,,,39
2021-03-30,,,,42
2021-03-31,,,,44
2021-04-01,,,,46
2021-04-05,,,,54
2021-04-06,,,,53
2021-04-07,,,,52
2021-04-08,,,,48
2021-04-09,,,,47
2021-04-12,,,,43
2021-04-13,,,,43
2021-04-14,,,,39
2021-04-15,,,,47
2021-04-16,,,,51
2021-04-19,,,,45
2021-04-20,,,,42
2021-04-21,,,,49
2021-04-22,,,,46
2021-04-23,,,,47
2021-04-26,,,,50
2021-04-27,,,,54
2021-04-28,,,,52
2021-04-29,,,,56
2021-04-30,,,,46
2021-05-03,,,,47
2021-05-04,,,,43
2021-05-05,,,,43
2021-05-06,,,,43
2021-05-07,,,,48
2021-05-10,,,,44
2021-05-11,,,,42
2021-05-12,,,,26
2021-05-13,,,,34
2021-05-14,,,,36
2021-05-17,,,,36
2021-05-18,,,,34
2021-05-19,,,,32
2021-05-20,,,,32
2021-05-21,,,,29
2021-05-24,,,,29
2021-05-25,,,,26
2021-05-26,,,,28
2021-05-27,,,,30
2021-05-28,,,,31
2021-06-01,,,,35
2021-06-02,,,,42
2021-06-03,,,,40
2021-06-04,,,,41
2021-06-07,,,,44
2021-06-08,,,,46
2021-06-09,,,,48
2021-06-10,,,,48
2021-06-11,,,,51
2021-06-14,,,,54
2021-06-15,,,,52
2021-06-16,,,,44
2021-06-17,,,,42
2021-06-18,,,,31
2021-06-21,,,,32
2021-06-22,,,,32
2021-06-23,,,,33
2021-06-24,,,,36
2021-06-25,,,,41
2021-06-28,,,,41
2021-06-29,,,,39
2021-06-30,,,,38
2021-07-01,,,,38
2021-07-02,,,,38
2021-07-06,,,,33
2021-07-07,,,,33
2021-07-08,,,,26
2021-07-09,,,,31
2021-07-12,,,,31
2021-07-13,,,,31
2021-07-14,,,,29
2021-07-15,,,,27
2021-07-16,,,,26
2021-07-19,,,,8
2021-07-20,,,,20
2021-07-21,,,,24
2021-07-22,,,,24
2021-07-23,,,,28
2021-07-26,,,,30
2021-07-27,,,,27
2021-07-28,,,,27
2021-07-29,,,,29
2021-07-30,,,,25
2021-08-02,,,,25
2021-08-03,,,,29
2021-08-04,,,,28
2021-08-05,,,,29
2021-08-06,,,,31
2021-08-09,,,,32
2021-08-10,,,,34
2021-08-11,,,,37
2021-08-12,,,,43
2021-08-13,,,,47
2021-08-16,,,,44
2021-08-17,,,,31
2021-08-18,,,,18
2021-08-19,,,,14
2021-08-20,,,,23
2021-08-23,,,,30
2021-08-24,,,,34
2021-08-25,,,,36
2021-08-26,,,,36
2021-08-27,,,,47
2021-08-30,,,,47
2021-08-31,,,,47
2021-09-01,,,,43
2021-09-02,,,,44
2021-09-03,,,,44
2021-09-07,,,,41
2021-09-08,,,,38
2021-09-09,,,,33
2021-09-10,,,,20
2021-09-13,,,,28
2021-09-14,,,,24
2021-09-15,,,,31
2021-09-16,,,,31
2021-09-17,,,,17
2021-09-20,,,,11
2021-09-21,,,,11
2021-09-22,,,,20
2021-09-23,,,,24
2021-09-24,,,,23
2021-09-27,,,,24
2021-09-28,,,,12
2021-09-29,,,,12
2021-09-30,,,,9
2021-10-01,,,,18
2021-10-04,,,,9
2021-10-05,,,,18
2021-10-06,,,,20
2021-10-07,,,,24
2021-10-08,,,,25
2021-10-11,,,,25
2021-10-12,,,,22
2021-10-13,,,,24
2021-10-14,,,,31
2021-10-15,,,,43
2021-10-18,,,,46
2021-10-19,,,,53
2021-10-20,,,,56
2021-10-21,,,,60
2021-10-22,,,,59
2021-10-25,,,,62
2021-10-26,,,,63
2021-10-27,,,,58
2021-10-28,,,,64
2021-10-29,,,,65
2021-11-01,,,,66
2021-11-02,,,,68
2021-11-03,,,,72
2021-11-04,,,,72
2021-11-05,,,,73
2021-11-08,,,,74
2021-11-09,,,,77
2021-11-10,,,,73
2021-11-11,,,,72
2021-11-12,,,,74
2021-11-15,,,,71
2021-11-16,,,,72
2021-11-17,,,,69
2021-11-18,,,,70
2021-11-19,,,,62
2021-11-22,,,,60
2021-11-23,,,,60
2021-11-24,,,,56
2021-11-26,,,,31
2021-11-29,,,,38
2021-11-30,,,,24
2021-12-01,,,,25
2021-12-02,,,,22
2021-12-03,,,,20
2021-12-06,,,,21
2021-12-07,,,,37
2021-12-08,,,,41
2021-12-09,,,,36
2021-12-10,,,,42
2021-12-13,,,,35
2021-12-14,,,,31
2021-12-15,,,,37
2021-12-16,,,,33
2021-12-17,,,,32
2021-12-20,,,,29
2021-12-21,,,,34
2021-12-22,,,,39
2021-12-23,,,,50
2021-12-27,,,,56
2021-12-28,,,,62
2021-12-29,,,,64
2021-12-30,,,,63
2021-12-31,,,,62
2022-01-03,,,,65
2022-01-04,,,,64
2022-01-05,,,,51
2022-01-06,,,,52
2022-01-07,,,,49
2022-01-10,,,,51
2022-01-11,,,,56
2022-01-12,,,,55
2022-01-13,,,,52
2022-01-14,,,,55
2022-01-18,,,,53
2022-01-19,,,,44
2022-01-20,,,,39
2022-01-21,,,,26
2022-01-24,,,,23
2022-01-25,,,,20
2022-01-26,,,,19
2022-01-27,,,,18
2022-01-28,,,,23
2022-01-31,,,,29
2022-02-01,,,,30
2022-02-02,,,,28
2022-02-03,,,,26
2022-02-04,,,,27
2022-02-07,,,,27
2022-02-08,,,,28
2022-02-09,,,,32
2022-02-10,,,,33
2022-02-11,,,,28
2022-02-14,,,,25
2022-02-15,,,,29
2022-02-16,,,,32
2022-02-17,,,,32
2022-02-18,,,,29
2022-02-22,,,,28
2022-02-23,,,,18
2022-02-24,,,,21
2022-02-25,,,,28
2022-02-28,,,,25
2022-03-01,,,,22
2022-03-02,,,,17
2022-03-03,,,,21
2022-03-04,,,,18
2022-03-07,,,,16
2022-03-08,,,,16
2022-03-09,,,,18
2022-03-10,,,,17
2022-03-11,,,,19
2022-03-14,,,,17
2022-03-15,,,,21
2022-03-16,,,,25
2022-03-17,,,,33
2022-03-18,,,,38
2022-03-21,,,,40
2022-03-22,,,,44
2022-03-23,,,,45
2022-03-24,,,,46
2022-03-25,,,,49
2022-03-28,,,,51
2022-03-29,,,,52
2022-03-30,,,,52
2022-03-31,,,,59
2022-04-01,,,,59
2022-04-04,,,,61
2022-04-05,,,,47
2022-04-06,,,,46
2022-04-07,,,,46
2022-04-08,,,,46
2022-04-11,,,,43
2022-04-12,,,,42
2022-04-13,,,,41
2022-04-14,,,,39
2022-04-18,,,,37
2022-04-19,,,,39
2022-04-20,,,,43
2022-04-21,,,,38
2022-04-22,,,,31
2022-04-25,,,,29
2022-04-26,,,,17
2022-04-27,,,,16
2022-04-28,,,,24
2022-04-29,,,,14
2022-05-02,,,,13
2022-05-03,,,,30
2022-05-04,,,,22
2022-05-05,,,,13
2022-05-06,,,,12
2022-05-09,,,,8
2022-05-10,,,,7
2022-05-11,,,,4
2022-05-12,,,,3
2022-05-13,,,,11
2022-05-16,,,,11
2022-05-17,,,,15
2022-05-18,,,,6
2022-05-19,,,,13
2022-05-20,,,,12
2022-05-23,,,,17
2022-05-24,,,,16
2022-05-25,,,,17
2022-05-26,,,,24
2022-05-27,,,,29
2022-05-31,,,,40
2022-06-01,,,,40
2022-06-02,,,,44
2022-06-03,,,,35
2022-06-06,,,,42
2022-06-07,,,,45
2022-06-08,,,,48
2022-06-09,,,,47
2022-06-10,,,,40
2022-06-13,,,,25
2022-06-14,,,,20
2022-06-15,,,,29
2022-06-16,,,,17
2022-06-17,,,,16
2022-06-21,,,,19
2022-06-22,,,,26
2022-06-23,,,,26
2022-06-24,,,,30
2022-06-27,,,,30
2022-06-28,,,,28
2022-06-29,,,,26
2022-06-30,,,,24
2022-07-01,,,,24
2022-07-05,,,,22
2022-07-06,,,,22
2022-07-07,,,,27
2022-07-08,,,,31
2022-07-11,,,,30
2022-07-12,,,,30
2022-07-13,,,,27
2022-07-14,,,,26
2022-07-15,,,,33
2022-07-18,,,,35
2022-07-19,,,,39
2022-07-20,,,,44
2022-07-21,,,,48
2022-07-22,,,,42
2022-07-25,,,,42
2022-07-26,,,,42
2022-07-27,,,,46
2022-07-28,,,,48
2022-07-29,,,,52
2022-08-01,,,,59
2022-08-02,,,,57
2022-08-03,,,,60
2022-08-04,,,,61
2022-08-05,,,,63
2022-08-08,,,,64
2022-08-09,,,,64
2022-08-10,,,,65
2022-08-11,,,,65
2022-08-12,,,,68
2022-08-15,,,,66
2022-08-16,,,,67
2022-08-17,,,,67
2022-08-18,,,,66
2022-08-19,,,,63
2022-08-22,,,,60
2022-08-23,,,,57
2022-08-24,,,,57
2022-08-25,,,,58
2022-08-26,,,,55
2022-08-29,,,,54
2022-08-30,,,,49
2022-08-31,,,,52
2022-09-01,,,,49
2022-09-02,,,,42
2022-09-06,,,,40
2022-09-07,,,,39
2022-09-08,,,,40
2022-09-09,,,,43
2022-09-12,,,,47
2022-09-13,,,,36
2022-09-14,,,,41
2022-09-15,,,,40
2022-09-16,,,,35
2022-09-19,,,,36
2022-09-20,,,,36
2022-09-21,,,,27
2022-09-22,,,,24
2022-09-23,,,,21
2022-09-26,,,,17
2022-09-27,,,,16
2022-09-28,,,,17
2022-09-29,,,,13
2022-09-30,,,,16
2022-10-03,,,,20
2022-10-04,,,,27
2022-10-05,,,,29
2022-10-06,,,,23
2022-10-07,,,,19
2022-10-10,,,,19
2022-10-11,,,,16
2022-10-12,,,,15
2022-10-13,,,,19
2022-10-14,,,,16
2022-10-17,,,,23
2022-10-18,,,,28
2022-10-19,,,,29
2022-10-20,,,,39
2022-10-21,,,,43
2022-10-24,,,,47
2022-10-25,,,,51
2022-10-26,,,,53
2022-10-27,,,,54
2022-10-28,,,,57
2022-10-31,,,,64
2022-11-01,,,,63
2022-11-02,,,,55
2022-11-03,,,,55
2022-11-04,,,,56
2022-11-07,,,,59
2022-11-08,,,,57
2022-11-09,,,,54
2022-11-10,,,,60
2022-11-11,,,,63
2022-11-14,,,,62
2022-11-15,,,,66
2022-11-16,,,,65
2022-11-17,,,,61
2022-11-18,,,,60
2022-11-21,,,,60
2022-11-22,,,,60
2022-11-23,,,,64
2022-11-25,,,,63
2022-11-28,,,,59
2022-11-29,,,,58
2022-11-30,,,,73
2022-12-01,,,,75
2022-12-02,,,,68
2022-12-05,,,,65
2022-12-06,,,,61
2022-12-07,,,,58
2022-12-08,,,,55
2022-12-09,,,,52
2022-12-12,,,,57
2022-12-13,,,,59
2022-12-14,,,,60
2022-12-15,,,,60
2022-12-16,,,,44
2022-12-19,,,,39
2022-12-20,,,,38
2022-12-21,,,,38
2022-12-22,,,,37
2022-12-23,,,,39
2022-12-27,,,,39
2022-12-28,,,,35
2022-12-29,,,,37
2022-12-30,,,,36
2023-01-03,,,,36
2023-01-04,,,,39
2023-01-05,,,,44
2023-01-06,,,,45
2023-01-09,,,,47
2023-01-10,,,,49
2023-01-11,,,,54
2023-01-12,,,,56
2023-01-13,,,,61
2023-01-17,,,,64
2023-01-18,,,,58
2023-01-19,,,,55
2023-01-20,,,,58
2023-01-23,,,,63
2023-01-24,,,,63
2023-01-25,,,,63
2023-01-26,,,,68
2023-01-27,,,,69
2023-01-30,,,,67
2023-01-31,,,,70
2023-02-01,,,,82
2023-02-02,,,,75
2023-02-03,,,,76
2023-02-06,,,,75
2023-02-07,,,,76
2023-02-08,,,,74
2023-02-09,,,,72
2023-02-10,,,,72
2023-02-13,,,,71
2023-02-14,,,,73
2023-02-15,,,,73
2023-02-16,,,,70
2023-02-17,,,,69
2023-02-21,,,,65
2023-02-22,,,,64
2023-02-23,,,,62
2023-02-24,,,,60
2023-02-27,,,,61
2023-02-28,,,,61
2023-03-01,,,,65
2023-03-02,,,,52
2023-03-03,,,,55
2023-03-06,,,,55
2023-03-07,,,,48
2023-03-08,,,,49
2023-03-09,,,,37
2023-03-10,,,,26
2023-03-13,,,,23
2023-03-14,,,,25
2023-03-15,,,,22
2023-03-16,,,,32
2023-03-17,,,,27
2023-03-20,,,,30
2023-03-21,,,,43
2023-03-22,,,,41
2023-03-23,,,,38
2023-03-24,,,,37
2023-03-27,,,,40
2023-03-28,,,,39
2023-03-29,,,,41
2023-03-30,,,,45
2023-03-31,,,,49
2023-04-03,,,,61
2023-04-04,,,,50
2023-04-05,,,,52
2023-04-06,,,,55
2023-04-10,,,,57
2023-04-11,,,,58
2023-04-12,,,,60
2023-04-13,,,,63
2023-04-14,,,,65
2023-04-17,,,,67
2023-04-18,,,,65
2023-04-19,,,,67
2023-04-20,,,,64
2023-04-21,,,,63
2023-04-24,,,,63
2023-04-25,,,,57
2023-04-26,,,,52
2023-04-27,,,,58
2023-04-28,,,,59
2023-05-01,,,,59
2023-05-02,,,,55
2023-05-03,,,,54
2023-05-04,,,,49
2023-05-05,,,,53
2023-05-08,,,,57
2023-05-09,,,,59
2023-05-10,,,,59
2023-05-11,,,,59
2023-05-12,,,,57
2023-05-15,,,,57
2023-05-16,,,,55
2023-05-17,,,,60
2023-05-18,,,,64
2023-05-19,,,,65
2023-05-22,,,,67
2023-05-23,,,,65
2023-05-24,,,,61
2023-05-25,,,,62
2023-05-26,,,,65
2023-05-30,,,,66
2023-05-31,,,,64
2023-06-01,,,,68
2023-06-02,,,,75
2023-06-05,,,,69
2023-06-06,,,,73
2023-06-07,,,,74
2023-06-08,,,,75
2023-06-09,,,,76
2023-06-12,,,,78
2023-06-13,,,,79
2023-06-14,,,,79
2023-06-15,,,,80
2023-06-16,,,,81
2023-06-20,,,,80
2023-06-21,,,,80
2023-06-22,,,,80
2023-06-23,,,,75
2023-06-26,,,,73
2023-06-27,,,,75
2023-06-28,,,,76
2023-06-29,,,,79
2023-06-30,,,,79
2023-07-03,,,,82
2023-07-05,,,,79
2023-07-06,,,,77
2023-07-07,,,,77
2023-07-10,,,,76
2023-07-11,,,,78
2023-07-12,,,,78
2023-07-13,,,,79
2023-07-14,,,,79
2023-07-17,,,,80
2023-07-18,,,,81
2023-07-19,,,,82
2023-07-20,,,,80
2023-07-21,,,,81
2023-07-24,,,,82
2023-07-25,,,,81
2023-07-26,,,,80
2023-07-27,,,,77
2023-07-28,,,,76
2023-07-31,,,,77
2023-08-01,,,,77
2023-08-02,,,,77
2023-08-03,,,,73
2023-08-04,,,,64
2023-08-07,,,,72
2023-08-08,,,,69
2023-08-09,,,,67
2023-08-10,,,,66
2023-08-11,,,,65
2023-08-14,,,,66
2023-08-15,,,,54
2023-08-16,,,,49
2023-08-17,,,,46
2023-08-18,,,,43
2023-08-21,,,,43
2023-08-22,,,,43
2023-08-23,,,,50
2023-08-24,,,,40
2023-08-25,,,,47
2023-08-28,,,,45
2023-08-29,,,,49
2023-08-30,,,,50
2023-08-31,,,,52
2023-09-01,,,,55
2023-09-05,,,,59
2023-09-06,,,,56
2023-09-07,,,,53
2023-09-08,,,,51
2023-09-11,,,,52
2023-09-12,,,,51
2023-09-13,,,,51
2023-09-14,,,,54
2023-09-15,,,,52
2023-09-18,,,,49
2023-09-19,,,,49
2023-09-20,,,,48
2023-09-21,,,,37
2023-09-22,,,,33
2023-09-25,,,,38
2023-09-26,,,,24
2023-09-27,,,,22
2023-09-28,,,,29
2023-09-29,,,,28
2023-10-02,,,,28
2023-10-03,,,,20
2023-10-04,,,,20
2023-10-05,,,,20
2023-10-06,,,,27
2023-10-09,,,,29
2023-10-10,,,,32
2023-10-11,,,,34
2023-10-12,,,,35
2023-10-13,,,,26
2023-10-16,,,,35
2023-10-17,,,,39
2023-10-18,,,,30
2023-10-19,,,,29
2023-10-20,,,,22
2023-10-23,,,,25
2023-10-24,,,,33
2023-10-25,,,,25
2023-10-26,,,,22
2023-10-27,,,,21
2023-10-30,,,,29
2023-10-31,,,,30
2023-11-01,,,,32
2023-11-02,,,,37
2023-11-03,,,,36
2023-11-06,,,,38
2023-11-07,,,,39
2023-11-08,,,,39
2023-11-09,,,,41
2023-11-10,,,,41
2023-11-13,,,,39
2023-11-14,,,,46
2023-11-15,,,,52
2023-11-16,,,,55
2023-11-17,,,,58
2023-11-20,,,,61
2023-11-21,,,,61
2023-11-22,,,,65
2023-11-24,,,,66
2023-11-27,,,,65
2023-11-28,,,,65
2023-11-29,,,,63
2023-11-30,,,,64
2023-12-01,,,,64
2023-12-04,,,,63
2023-12-05,,,,65
2023-12-06,,,,63
2023-12-07,,,,66
2023-12-08,,,,65
2023-12-11,,,,67
2023-12-12,,,,67
2023-12-13,,,,67
2023-12-14,,,,70
2023-12-15,,,,69
2023-12-18,,,,70
2023-12-19,,,,82
2023-12-20,,,,75
2023-12-21,,,,77
2023-12-22,,,,79
2023-12-26,,,,81
2023-12-27,,,,81
2023-12-28,,,,81
2023-12-29,,,,80
2024-01-02,,,,79
2024-01-03,,,,76
2024-01-04,,,,78
2024-01-05,,,,75
2024-01-08,,,,76
2024-01-09,,,,75
2024-01-10,,,,76
2024-01-11,,,,74
2024-01-12,,,,73
2024-01-16,,,,72
2024-01-17,,,,57
2024-01-18,,,,66
2024-01-19,,,,72
2024-01-22,,,,72
2024-01-23,,,,70
2024-01-24,,,,72
2024-01-25,,,,73
2024-01-26,,,,73
2024-01-29,,,,74
2024-01-30,,,,74
2024-01-31,,,,64
2024-02-01,,,,72
2024-02-02,,,,74
2024-02-05,,,,73
2024-02-06,,,,73
2024-02-07,,,,73
2024-02-08,,,,74
2024-02-09,,,,75
2024-02-12,,,,75
2024-02-13,,,,66
2024-02-14,,,,67
2024-02-15,,,,73
2024-02-16,,,,73
2024-02-20,,,,63
2024-02-21,,,,63
2024-02-22,,,,73
2024-02-23,,,,73
2024-02-26,,,,71
2024-02-27,,,,75
2024-02-28,,,,76
2024-02-29,,,,77
2024-03-01,,,,76
2024-03-04,,,,79
2024-03-05,,,,76
2024-03-06,,,,72
2024-03-07,,,,73
2024-03-08,,,,70
2024-03-11,,,,62
2024-03-12,,,,72
2024-03-13,,,,71
2024-03-14,,,,70
2024-03-15,,,,68
2024-03-18,,,,70
2024-03-19,,,,70
2024-03-20,,,,69
2024-03-21,,,,71
2024-03-22,,,,69
2024-03-25,,,,67
2024-03-26,,,,67
2024-03-27,,,,69
2024-03-28,,,,68
2024-04-01,,,,71
2024-04-02,,,,71
2024-04-03,,,,69
2024-04-04,,,,53
2024-04-05,,,,58
2024-04-08,,,,64
2024-04-09,,,,59
2024-04-10,,,,49
2024-04-11,,,,56
2024-04-12,,,,45
2024-04-15,,,,38
2024-04-16,,,,35
2024-04-17,,,,31
2024-04-18,,,,30
2024-04-19,,,,27
2024-04-22,,,,34
2024-04-23,,,,36
2024-04-24,,,,37
2024-04-25,,,,39
2024-04-26,,,,40
2024-04-29,,,,42
2024-04-30,,,,40
2024-05-01,,,,40
2024-05-02,,,,42
2024-05-03,,,,43
2024-05-06,,,,39
2024-05-07,,,,37
2024-05-08,,,,38
2024-05-09,,,,42
2024-05-10,,,,46
2024-05-13,,,,48
2024-05-14,,,,55
2024-05-15,,,,59
2024-05-16,,,,62
2024-05-17,,,,62
2024-05-20,,,,60
2024-05-21,,,,59
2024-05-22,,,,58
2024-05-23,,,,52
2024-05-24,,,,51
2024-05-28,,,,54
2024-05-29,,,,49
2024-05-30,,,,45
2024-05-31,,,,48
2024-06-03,,,,45
2024-06-04,,,,47
2024-06-05,,,,51
2024-06-06,,,,45
2024-06-07,,,,43
2024-06-10,,,,44
2024-06-11,,,,44
2024-06-12,,,,46
2024-06-13,,,,44
2024-06-14,,,,41
2024-06-17,,,,43
2024-06-18,,,,41
2024-06-20,,,,38
2024-06-21,,,,39
2024-06-24,,,,37
2024-06-25,,,,37
2024-06-26,,,,40
2024-06-27,,,,45
2024-06-28,,,,44
2024-07-01,,,,47
2024-07-02,,,,49
2024-07-03,,,,48
2024-07-05,,,,49
2024-07-08,,,,51
2024-07-09,,,,50
2024-07-10,,,,54
2024-07-11,,,,49
2024-07-12,,,,54
2024-07-15,,,,57
2024-07-16,,,,57
2024-07-17,,,,46
2024-07-18,,,,45
2024-07-19,,,,43
2024-07-22,,,,48
2024-07-23,,,,46
2024-07-24,,,,38
2024-07-25,,,,39
2024-07-26,,,,42
2024-07-29,,,,42
2024-07-30,,,,40
2024-07-31,,,,46
2024-08-01,,,,32
2024-08-02,,,,27
2024-08-05,,,,16
2024-08-06,,,,23
2024-08-07,,,,19
2024-08-08,,,,23
2024-08-09,,,,23
2024-08-12,,,,21
2024-08-13,,,,25
2024-08-14,,,,27
2024-08-15,,,,33
2024-08-16,,,,35
2024-08-19,,,,46
2024-08-20,,,,47
2024-08-21,,,,51
2024-08-22,,,,48
2024-08-23,,,,54
2024-08-26,,,,43
2024-08-27,,,,55
2024-08-28,,,,56
2024-08-29,,,,60
2024-08-30,,,,62
2024-09-03,,,,54
2024-09-04,,,,49
2024-09-05,,,,47
2024-09-06,,,,39
2024-09-09,,,,40
2024-09-10,,,,38
2024-09-11,,,,39
2024-09-12,,,,44
2024-09-13,,,,47
2024-09-16,,,,54
2024-09-17,,,,55
2024-09-18,,,,60
2024-09-19,,,,65
2024-09-20,,,,63
2024-09-23,,,,65
2024-09-24,,,,66
2024-09-25,,,,67
2024-09-25,,,,67
